self;other;geometry;edge;edge_correction
16282;16511;LINESTRING (130066.4762000004 5914857.0208, 130058.0333000002 5914913.482);16647;
15678;16536;LINESTRING (130058.7547000004 5915130.1677, 130029.7819999997 5915125.9737);16103;
16379;14568;LINESTRING (130084.1775000002 5914994.1656, 130081.2197000002 5915025.3789);16597;
16380;16544;LINESTRING (130095.2218000004 5914919.4019, 130082.9726 5914985.8396);16598;
14562;16283;LINESTRING (130072.5060000001 5914816.6964, 130038.0362999998 5914812.4949);17745;
16284;16283;LINESTRING (130050.3192999996 5914734.3555, 130042.4308000002 5914787.4413, 130038.0362999998 5914812.4949);17746;
13849;13848;LINESTRING (133997.1046000002 5915404.025, 133978.7599999998 5915403.9276);14797;
13847;13846;LINESTRING (133955.9753 5915423.2067, 133975.7041999996 5915423.4902);14798;
13845;13846;LINESTRING (133998.0958000002 5915423.1805, 133975.7041999996 5915423.4902);14799;
13851;12763;LINESTRING (133980.9265000001 5915390.0584, 133984.7423999999 5915359.6326);14800;
15501;15499;LINESTRING (134257.2679000003 5915452.2096, 134258.9036999997 5915506.6666);14952;
14501;15499;LINESTRING (134260.0237999996 5915561.2434, 134258.9036999997 5915506.6666);14953;
15499;15495;LINESTRING (134258.9036999997 5915506.6666, 134199.9009999996 5915556.8723);14955;
15805;13877;LINESTRING (134148.7114000004 5915593.9549, 134166.6052999999 5915481.1381);14286;
16215;14035;LINESTRING (134139.4742000001 5915346.2255, 134186.3097000001 5915346.0467);14606;
15999;15998;LINESTRING (133889.1522000004 5915177.7335, 133946.2663000003 5915177.0605);14613;
15998;15997;LINESTRING (133946.2663000003 5915177.0605, 134009.4534 5915175.1075);14614;
15997;15996;LINESTRING (134009.4534 5915175.1075, 134127.9013 5915171.1583);14615;
13846;13848;LINESTRING (133975.7041999996 5915423.4902, 133978.7599999998 5915403.9276);14918;
13848;13851;LINESTRING (133978.7599999998 5915403.9276, 133980.9265000001 5915390.0584);14919;
16210;13527;LINESTRING (134097.9073000001 5915357.7925, 134169.9282 5915356.7461);14920;
13852;13870;LINESTRING (133956.5484999996 5915349.3944, 134077.7304999996 5915346.7924);14921;
13868;13852;LINESTRING (133937.2331999997 5915349.6711, 133956.5484999996 5915349.3944);14923;
13527;13853;LINESTRING (134169.9282 5915356.7461, 134185.4419999998 5915351.9954, 134216.8461999996 5915342.3788);14792;
13881;12763;LINESTRING (133938.8419000003 5915360.011, 133984.7423999999 5915359.6326);14793;
