,self,other,edge,edge_correction,geometry
2791,13355,13354,16465,,"LINESTRING (134333.0089999996 5913292.2615, 134336.4981000004 5913294.2977)"
2792,13381,13382,16468,,"LINESTRING (134470.2701000003 5913071.9512, 134496.6847999999 5913065.507)"
2793,13382,13383,16469,,"LINESTRING (134496.6847999999 5913065.507, 134521.1827999996 5913043.6997)"
2794,13370,13369,16470,,"LINESTRING (134448.7085999995 5913122.4118, 134404.3125999998 5913098.6785)"
2795,13369,13368,16471,,"LINESTRING (134404.3125999998 5913098.6785, 134372.8547 5913104.7297)"
2796,13368,13367,16472,,"LINESTRING (134372.8547 5913104.7297, 134338.4665000001 5913123.3278)"
2797,13367,13366,16473,,"LINESTRING (134338.4665000001 5913123.3278, 134309.2182 5913114.8482)"
2798,13366,13365,16474,,"LINESTRING (134309.2182 5913114.8482, 134281.8958000001 5913117.1029)"
2799,13365,13364,16475,,"LINESTRING (134281.8958000001 5913117.1029, 134286.5307 5913152.8718)"
2800,15582,15581,15799,,"LINESTRING (134672.0498000002 5913583.7972, 134624.7829999998 5913592.456)"
2801,15555,15576,15808,,"LINESTRING (134609.0943 5913755.6587, 134668.6941999998 5913740.0201)"
2802,15616,14717,16863,,"LINESTRING (134671.2668000003 5913301.0179, 134669.7180000003 5913322.0497)"
2803,14717,15619,16864,,"LINESTRING (134669.7180000003 5913322.0497, 134632.0301999999 5913363.3847)"
2804,14710,14719,16865,,"LINESTRING (134901.5221999995 5913404.2138, 134851.3227000004 5913451.1681)"
2805,14718,14719,16866,,"LINESTRING (134874.2819999997 5913457.8438, 134851.3227000004 5913451.1681)"
2806,14719,14720,16867,,"LINESTRING (134851.3227000004 5913451.1681, 134835.7035999997 5913462.2645)"
2807,14720,14721,16868,,"LINESTRING (134835.7035999997 5913462.2645, 134819.6387999998 5913477.7674)"
2808,14721,14722,16869,,"LINESTRING (134819.6387999998 5913477.7674, 134814.5498000002 5913492.0926)"
2809,14722,15607,16870,,"LINESTRING (134814.5498000002 5913492.0926, 134760.8980999999 5913484.1081)"
2810,14692,14693,16888,,"LINESTRING (134909.7587000001 5913119.0709, 134891.1085999999 5913095.6037)"
2811,14691,14692,16889,,"LINESTRING (134924.4678999996 5913132.7001, 134909.7587000001 5913119.0709)"
2812,14694,14695,16890,,"LINESTRING (134942.5015000002 5913149.6863, 134956.0313999997 5913163.171)"
2813,15598,15597,16952,,"LINESTRING (134910.7591000004 5913687.5519, 134931.9826999996 5913743.1801)"
2814,15600,15601,16953,,"LINESTRING (134877.0684000002 5913600.2539, 134860.1062000003 5913563.0292)"
2815,129179,129180,141226,,"LINESTRING (133987.5495999996 5912978.0187, 133984.1942999996 5912947.5723)"
2816,129180,129184,141227,,"LINESTRING (133984.1942999996 5912947.5723, 133996.2544999998 5912899.8418)"
2817,129184,129185,141228,,"LINESTRING (133996.2544999998 5912899.8418, 134017.2099000001 5912858.6333)"
2818,129185,129186,141229,,"LINESTRING (134017.2099000001 5912858.6333, 134026.2995999996 5912837.8717)"
2819,129186,124832,141230,,"LINESTRING (134026.2995999996 5912837.8717, 134032.0588999996 5912794.7211)"
2820,129187,129188,141231,,"LINESTRING (134029.6754000001 5912837.5464, 134033.9562999997 5912798.1248)"
2821,129188,124832,141232,,"LINESTRING (134033.9562999997 5912798.1248, 134032.0588999996 5912794.7211)"
2822,129189,129185,141243,,"LINESTRING (134076.0697999997 5912885.7729, 134017.2099000001 5912858.6333)"
2823,129183,129182,141244,,"LINESTRING (134002.4667999996 5912893.499, 133993.0000999998 5912924.9138)"
2824,129182,129181,141245,,"LINESTRING (133993.0000999998 5912924.9138, 133989.0702 5912949.7533)"
2825,129181,129180,141246,,"LINESTRING (133989.0702 5912949.7533, 133984.1942999996 5912947.5723)"
2826,116670,116671,127154,,"LINESTRING (134400.9020999996 5912852.0983, 134382.9444000004 5912860.0514)"
2827,116671,116672,127155,,"LINESTRING (134382.9444000004 5912860.0514, 134343.7046999997 5912885.3328)"
2828,116681,116671,127166,,"LINESTRING (134376.6670000004 5912853.5498, 134382.9444000004 5912860.0514)"
2829,116690,116693,127170,,"LINESTRING (134382.7703 5912776.4099, 134348.4193000002 5912793.8815)"
2830,116693,116681,127171,,"LINESTRING (134348.4193000002 5912793.8815, 134376.6670000004 5912853.5498)"
2831,116687,116693,127176,,"LINESTRING (134310.1358000003 5912821.6889, 134348.4193000002 5912793.8815)"
2832,124832,124834,136759,,"LINESTRING (134032.0588999996 5912794.7211, 134041.3821 5912762.9091)"
2833,14660,14740,17453,,"LINESTRING (134491.3841000004 5913394.0906, 134441.5525000002 5913430.309)"
2834,14740,14741,17454,,"LINESTRING (134441.5525000002 5913430.309, 134486.1354999999 5913440.879)"
2835,15614,15612,17438,,"LINESTRING (134662.2631999999 5913046.2767, 134649.5481000002 5913104.3288)"
2836,15568,15614,17439,,"LINESTRING (134674.7653000001 5912991.6064, 134662.2631999999 5913046.2767)"
2837,15615,15568,17440,,"LINESTRING (134708.8881000001 5912975.9733, 134674.7653000001 5912991.6064)"
2838,14665,14664,16918,,"LINESTRING (134529.2625000002 5913223.4859, 134521.3170999996 5913258.4857)"
2839,14666,14665,16919,,"LINESTRING (134569.6886999998 5913197.9501, 134529.2625000002 5913223.4859)"
2840,14667,14666,16920,,"LINESTRING (134572.0652000001 5913160.1963, 134569.6886999998 5913197.9501)"
2841,15617,14667,16921,,"LINESTRING (134609.5899 5913160.0747, 134572.0652000001 5913160.1963)"
2842,15618,15617,16922,,"LINESTRING (134613.8716000002 5913117.967, 134609.5899 5913160.0747)"
2843,15612,15618,16923,,"LINESTRING (134649.5481000002 5913104.3288, 134613.8716000002 5913117.967)"
2844,14761,14760,16500,,"LINESTRING (134572.8689999999 5913535.3078, 134552.3243000004 5913531.8306)"
2845,14760,14759,16501,,"LINESTRING (134552.3243000004 5913531.8306, 134518.1425000001 5913519.3047)"
2846,14759,14758,16502,,"LINESTRING (134518.1425000001 5913519.3047, 134500.0724999998 5913537.2781)"
2847,14758,14757,16503,,"LINESTRING (134500.0724999998 5913537.2781, 134481.9101999998 5913530.6746)"
2848,14757,14756,16504,,"LINESTRING (134481.9101999998 5913530.6746, 134445.2740000002 5913531.0988)"
2849,14752,14750,16970,,"LINESTRING (134737.5177999996 5913480.8737, 134674.2856000001 5913491.7125)"
2850,14754,14762,17348,,"LINESTRING (134622.9027000004 5913549.0421, 134597.7889999999 5913561.6481)"
2851,14762,14761,17522,,"LINESTRING (134597.7889999999 5913561.6481, 134572.8689999999 5913535.3078)"
2852,14741,14742,17455,,"LINESTRING (134486.1354999999 5913440.879, 134518.3139000004 5913441.2216)"
2853,14742,14743,17456,,"LINESTRING (134518.3139000004 5913441.2216, 134549.4100000001 5913448.1543)"
2854,14747,14748,17461,,"LINESTRING (134654.0223000003 5913445.8095, 134686.1857000003 5913453.362)"
2855,14748,14749,17462,,"LINESTRING (134686.1857000003 5913453.362, 134707.3011999996 5913443.0822)"
2856,14743,14744,17457,,"LINESTRING (134549.4100000001 5913448.1543, 134581.5642999997 5913467.2868)"
2857,14744,14745,17458,,"LINESTRING (134581.5642999997 5913467.2868, 134600.9552999996 5913470.6242)"
2858,14745,14746,17459,,"LINESTRING (134600.9552999996 5913470.6242, 134627.0943 5913464.6245)"
2859,14746,14747,17460,,"LINESTRING (134627.0943 5913464.6245, 134654.0223000003 5913445.8095)"
2860,14753,14754,16968,,"LINESTRING (134639.9477000004 5913533.2108, 134622.9027000004 5913549.0421)"
2861,14756,14755,16819,,"LINESTRING (134445.2740000002 5913531.0988, 134425.8108000001 5913545.1624)"
2862,14661,14660,16964,,"LINESTRING (134485.5846999995 5913357.1208, 134491.3841000004 5913394.0906)"
2863,14662,14661,16965,,"LINESTRING (134480.8377 5913321.1266, 134485.5846999995 5913357.1208)"
2864,14663,14662,16966,,"LINESTRING (134492.2099000001 5913293.9511, 134480.8377 5913321.1266)"
2865,14664,14663,16967,,"LINESTRING (134521.3170999996 5913258.4857, 134492.2099000001 5913293.9511)"
2866,14750,14753,16969,,"LINESTRING (134674.2856000001 5913491.7125, 134639.9477000004 5913533.2108)"
2867,14749,14751,17463,,"LINESTRING (134707.3011999996 5913443.0822, 134735.9395000003 5913461.9606)"
2868,14751,14752,17464,,"LINESTRING (134735.9395000003 5913461.9606, 134737.5177999996 5913480.8737)"
2869,14676,15615,17441,,"LINESTRING (134756.7887000004 5912975.7672, 134708.8881000001 5912975.9733)"
2870,121560,121561,133203,,"LINESTRING (134081.1918000001 5913447.7185, 134069.0855999999 5913478.3809)"
2871,121561,121562,133204,,"LINESTRING (134069.0855999999 5913478.3809, 134093.2527000001 5913494.7571)"
2872,121562,121563,133205,,"LINESTRING (134093.2527000001 5913494.7571, 134096.8013000004 5913513.8032)"
2873,121563,121564,133206,,"LINESTRING (134096.8013000004 5913513.8032, 134106.4047999997 5913516.3007)"
2874,121564,121565,133207,,"LINESTRING (134106.4047999997 5913516.3007, 134127.8421999998 5913503.7183)"
2875,121565,121566,133208,,"LINESTRING (134127.8421999998 5913503.7183, 134162.1568999998 5913483.4377)"
2876,121567,121568,133210,,"LINESTRING (134200.6158999996 5913451.8003, 134208.1721000001 5913442.5796)"
2877,121568,121569,133211,,"LINESTRING (134208.1721000001 5913442.5796, 134218.5734000001 5913415.6532)"
2878,121566,121567,133209,,"LINESTRING (134162.1568999998 5913483.4377, 134200.6158999996 5913451.8003)"
2879,121569,121570,133212,,"LINESTRING (134218.5734000001 5913415.6532, 134237.0033999998 5913403.8213)"
2880,121570,121571,133213,,"LINESTRING (134237.0033999998 5913403.8213, 134260.7297999999 5913384.0617)"
2881,121571,121572,133214,,"LINESTRING (134260.7297999999 5913384.0617, 134286.9055000003 5913346.3933)"
2882,121572,13352,133215,,"LINESTRING (134286.9055000003 5913346.3933, 134317.3949999996 5913328.2346)"
2883,13268,13269,18453,,"LINESTRING (134269.1726000002 5912649.3047, 134305.1211999999 5912652.2767)"
2884,112322,112323,122375,,"LINESTRING (134106.5122999996 5913162.7148, 134121.4803999998 5913204.6161)"
2885,112324,112325,122405,,"LINESTRING (134152.0495999996 5913240.9232, 134183.2226 5913264.3117)"
2886,112325,112326,122406,,"LINESTRING (134183.2226 5913264.3117, 134197.8479000004 5913270.585)"
2887,112326,112327,122407,,"LINESTRING (134197.8479000004 5913270.585, 134217.3981999997 5913278.952)"
2888,112327,112328,122408,,"LINESTRING (134217.3981999997 5913278.952, 134245.0016999999 5913304.6837)"
2889,112328,13358,122409,,"LINESTRING (134245.0016999999 5913304.6837, 134276.1456000004 5913315.8155)"
2890,112323,112324,122376,,"LINESTRING (134121.4803999998 5913204.6161, 134152.0495999996 5913240.9232)"
2891,13352,13353,16466,,"LINESTRING (134317.3949999996 5913328.2346, 134340.5162000004 5913296.5736)"
2892,13353,13354,16467,,"LINESTRING (134340.5162000004 5913296.5736, 134336.4981000004 5913294.2977)"
2893,14162,14163,17241,,"LINESTRING (134927.6062000003 5912768.1791, 134899.2039000001 5912740.5692)"
2894,14163,14164,17230,,"LINESTRING (134899.2039000001 5912740.5692, 134864.7222999996 5912742.1355)"
2895,14164,14165,17231,,"LINESTRING (134864.7222999996 5912742.1355, 134841.7494000001 5912760.223)"
2896,122672,122673,134597,,"LINESTRING (134987.1733999997 5912787.7272, 134967.8987999996 5912770.8532)"
2897,122674,122673,134598,,"LINESTRING (134979.4770999998 5912761.1096, 134967.8987999996 5912770.8532)"
2898,122671,122674,134599,,"LINESTRING (134965.3635 5912685.2355, 134979.4770999998 5912761.1096)"
2899,122675,122671,134600,,"LINESTRING (134947.4155000001 5912649.5464, 134965.3635 5912685.2355)"
2900,122676,122675,134601,,"LINESTRING (134966.3575999998 5912616.2491, 134947.4155000001 5912649.5464)"
2901,150832,129180,164417,,"LINESTRING (133979.9035 5912946.4747, 133984.1942999996 5912947.5723)"
2902,150837,150832,164418,,"LINESTRING (133982.6253000004 5912927.0429, 133979.9035 5912946.4747)"
2903,150836,150835,164419,,"LINESTRING (134004.2665999997 5912874.0817, 134015.0549999997 5912852.879)"
2904,150835,150834,164420,,"LINESTRING (134015.0549999997 5912852.879, 134020.2330999998 5912838.4052)"
2905,150834,150833,164421,,"LINESTRING (134020.2330999998 5912838.4052, 134023.8957000002 5912794.8575)"
2906,150833,124832,164422,,"LINESTRING (134023.8957000002 5912794.8575, 134032.0588999996 5912794.7211)"
2908,150838,150837,164424,,"LINESTRING (133990.9683999997 5912900.5983, 133982.6253000004 5912927.0429)"
2909,14258,14259,17783,,"LINESTRING (134485.0231999997 5912643.1131, 134494.8200000003 5912685.6506)"
2910,14250,14251,17795,,"LINESTRING (134433.6453 5912693.2886, 134429.0454000002 5912676.237)"
2911,14296,14297,17798,,"LINESTRING (134528.7494000001 5912660.7825, 134531.3359000003 5912682.979)"
2912,14295,14296,17799,,"LINESTRING (134523.6797000002 5912637.4216, 134528.7494000001 5912660.7825)"
2913,13571,13568,17810,,"LINESTRING (134988.5745000001 5912973.4947, 134955.4027000004 5912994.0993)"
2914,13569,13568,17811,,"LINESTRING (134971.0027999999 5912959.945, 134955.4027000004 5912994.0993)"
2915,13568,13567,17812,,"LINESTRING (134955.4027000004 5912994.0993, 134944.8470000001 5912992.9921)"
2916,129190,129189,141236,,"LINESTRING (134090.8194000004 5912848.43, 134076.0697999997 5912885.7729)"
2917,129199,129198,141237,,"LINESTRING (134089.1810999997 5912956.6069, 134100.6023000004 5912979.5106)"
2918,129198,129197,141238,,"LINESTRING (134100.6023000004 5912979.5106, 134082.7103000004 5912996.8402)"
2919,129197,129196,141239,,"LINESTRING (134082.7103000004 5912996.8402, 134072.8463000003 5912996.8455)"
2920,129196,129195,141240,,"LINESTRING (134072.8463000003 5912996.8455, 134053.9248000002 5912959.7296)"
2921,129195,129194,141241,,"LINESTRING (134053.9248000002 5912959.7296, 134053.1211000001 5912931.1284)"
2922,129194,129189,141242,,"LINESTRING (134053.1211000001 5912931.1284, 134076.0697999997 5912885.7729)"
2923,13276,13279,14386,,"LINESTRING (134349.6160000004 5912702.8407, 134289.2608000003 5912706.099)"
2924,13273,13276,14387,,"LINESTRING (134417.7651000004 5912707.6683, 134349.6160000004 5912702.8407)"
2925,14252,14253,16231,,"LINESTRING (134352.0369999995 5912697.0111, 134324.9458999997 5912609.9804)"
2926,13375,13376,17203,,"LINESTRING (134257.4853999997 5913048.7383, 134306.3278000001 5913027.4321)"
2927,14298,14259,17781,,"LINESTRING (134492.5570999999 5912711.0381, 134494.8200000003 5912685.6506)"
2928,14299,14298,17782,,"LINESTRING (134483.4334000004 5912763.868, 134492.5570999999 5912711.0381)"
2929,14251,14252,17796,,"LINESTRING (134429.0454000002 5912676.237, 134420.4126000004 5912678.5658, 134352.0369999995 5912697.0111)"
2930,13279,13278,18312,,"LINESTRING (134289.2608000003 5912706.099, 134289.4243000001 5912685.8324)"
2931,13272,13273,18313,,"LINESTRING (134414.7052999996 5912663.874, 134417.7651000004 5912707.6683)"
2932,13274,14253,18449,,"LINESTRING (134333.9921000004 5912649.9532, 134324.9458999997 5912609.9804)"
2933,13271,13274,18451,,"LINESTRING (134382.7348999996 5912635.3318, 134333.9921000004 5912649.9532)"
2934,13269,13274,18452,,"LINESTRING (134305.1211999999 5912652.2767, 134333.9921000004 5912649.9532)"
2935,13275,13274,18454,,"LINESTRING (134338.6754999999 5912667.9027, 134333.9921000004 5912649.9532)"
2936,13277,13275,18455,,"LINESTRING (134337.4610000001 5912689.6538, 134338.6754999999 5912667.9027)"
2937,13278,13277,18456,,"LINESTRING (134289.4243000001 5912685.8324, 134337.4610000001 5912689.6538)"
2938,116686,116687,127175,,"LINESTRING (134301.4770999998 5912819.6873, 134310.1358000003 5912821.6889)"
2939,116679,13375,132087,,"LINESTRING (134239.7241000002 5913028.8603, 134257.4853999997 5913048.7383)"
2940,121501,121500,133142,,"LINESTRING (134231.9577000001 5912818.3448, 134171.6754000001 5912892.7692)"
2941,121500,121499,133143,,"LINESTRING (134171.6754000001 5912892.7692, 134151.7729000002 5912928.0617)"
2942,121499,121498,133144,,"LINESTRING (134151.7729000002 5912928.0617, 134154.6447999999 5912931.5635)"
2944,121498,121497,133145,,"LINESTRING (134154.6447999999 5912931.5635, 134202.5226999996 5912906.8605)"
2945,116669,116670,127153,,"LINESTRING (134459.2982000001 5912811.6652, 134400.9020999996 5912852.0983)"
2946,116673,116672,127156,,"LINESTRING (134348.4697000002 5912886.8381, 134343.7046999997 5912885.3328)"
2947,121502,121503,133146,,"LINESTRING (134237.5722000003 5912786.7754, 134246.8700000001 5912881.7866)"
2948,121503,121497,133147,,"LINESTRING (134246.8700000001 5912881.7866, 134202.5226999996 5912906.8605)"
2949,121497,121496,133148,,"LINESTRING (134202.5226999996 5912906.8605, 134234.1539000003 5912959.1136)"
2950,116672,116674,127157,,"LINESTRING (134343.7046999997 5912885.3328, 134281.2884 5912944.3773)"
2951,121496,116680,133149,,"LINESTRING (134234.1539000003 5912959.1136, 134203.1919 5912975.3657)"
2952,116674,116675,127158,,"LINESTRING (134281.2884 5912944.3773, 134208.2051999997 5912983.8656)"
2953,121495,116680,133150,,"LINESTRING (134172.5926999999 5912994.802, 134203.1919 5912975.3657)"
2954,129173,129174,141220,,"LINESTRING (134096.9086999996 5913057.5374, 134073.4100000001 5913064.3142)"
2955,129174,129175,141221,,"LINESTRING (134073.4100000001 5913064.3142, 134074.3013000004 5913068.6254)"
2956,116680,116675,127159,,"LINESTRING (134203.1919 5912975.3657, 134208.2051999997 5912983.8656)"
2957,116678,116677,127160,,"LINESTRING (134084.8943999996 5913070.1956, 134123.2324999999 5913052.4404)"
2958,116677,116676,127161,,"LINESTRING (134123.2324999999 5913052.4404, 134151.7597000003 5913019.5958)"
2959,116676,116675,127162,,"LINESTRING (134151.7597000003 5913019.5958, 134208.2051999997 5912983.8656)"
2960,116675,116679,127163,,"LINESTRING (134208.2051999997 5912983.8656, 134239.7241000002 5913028.8603)"
2961,116689,116691,127167,,"LINESTRING (134348.3509999998 5912765.8352, 134380.3320000004 5912766.8756)"
2962,116692,116691,127168,,"LINESTRING (134421.5575000001 5912774.6909, 134380.3320000004 5912766.8756)"
2963,116691,116690,127169,,"LINESTRING (134380.3320000004 5912766.8756, 134382.7703 5912776.4099)"
2965,116688,116686,127173,,"LINESTRING (134296.0958000002 5912776.907, 134301.4770999998 5912819.6873)"
2966,116685,116686,127174,,"LINESTRING (134303.9243999999 5912848.3499, 134301.4770999998 5912819.6873)"
2967,129175,129176,141222,,"LINESTRING (134074.3013000004 5913068.6254, 134047.7736999998 5913069.7416)"
2968,129176,129177,141223,,"LINESTRING (134047.7736999998 5913069.7416, 134026.9731999999 5913057.2421)"
2969,129177,129178,141224,,"LINESTRING (134026.9731999999 5913057.2421, 134012.3114999998 5913030.3621)"
2970,129178,129179,141225,,"LINESTRING (134012.3114999998 5913030.3621, 133987.5495999996 5912978.0187)"
2971,129193,129192,141233,,"LINESTRING (134093.8318999996 5912903.3101, 134113.9128 5912864.2097)"
2972,129192,129191,141234,,"LINESTRING (134113.9128 5912864.2097, 134112.8250000002 5912855.3764)"
2973,129191,129190,141235,,"LINESTRING (134112.8250000002 5912855.3764, 134090.8194000004 5912848.43)"
2974,14247,14246,17788,,"LINESTRING (134160.6299000001 5912627.8321, 134117.6425000001 5912659.7561)"
2975,14246,148169,17789,,"LINESTRING (134117.6425000001 5912659.7561, 134099.8481999999 5912631.846)"
2976,122669,14163,134594,,"LINESTRING (134943.3792000003 5912697.6416, 134899.2039000001 5912740.5692)"
2977,122670,122669,134595,,"LINESTRING (134953.8179000001 5912707.581, 134943.3792000003 5912697.6416)"
2978,122673,122670,134596,,"LINESTRING (134967.8987999996 5912770.8532, 134953.8179000001 5912707.581)"
2979,124852,124851,136748,,"LINESTRING (134225.4912999999 5912718.4557, 134227.5944999997 5912734.8597)"
2980,124851,124850,136749,,"LINESTRING (134227.5944999997 5912734.8597, 134183.5707 5912773.2799)"
2981,124850,124849,136750,,"LINESTRING (134183.5707 5912773.2799, 134159.2046999997 5912810.1465)"
2982,124849,124848,136751,,"LINESTRING (134159.2046999997 5912810.1465, 134104.0064000003 5912786.5456)"
2983,124848,124844,136752,,"LINESTRING (134104.0064000003 5912786.5456, 134125.1359999999 5912749.8347)"
2984,124847,124846,136753,,"LINESTRING (134221.9790000003 5912688.6524, 134217.1342000002 5912676.1435)"
2985,124846,124845,136754,,"LINESTRING (134217.1342000002 5912676.1435, 134182.2496999996 5912691.3377)"
2986,124845,124844,136755,,"LINESTRING (134182.2496999996 5912691.3377, 134125.1359999999 5912749.8347)"
2987,124844,124838,136757,,"LINESTRING (134125.1359999999 5912749.8347, 134076.5521 5912702.3877)"
2988,124833,124835,136758,,"LINESTRING (134034.8240999999 5912795.3259, 134044.7412999999 5912763.9917)"
2989,124835,124836,136760,,"LINESTRING (134044.7412999999 5912763.9917, 134068.6725000003 5912717.8216)"
2990,124834,124837,136761,,"LINESTRING (134041.3821 5912762.9091, 134068.8212000001 5912714.2682)"
2991,124836,124837,136763,,"LINESTRING (134068.6725000003 5912717.8216, 134068.8212000001 5912714.2682)"
2992,124837,124838,136764,,"LINESTRING (134068.8212000001 5912714.2682, 134076.5521 5912702.3877)"
2993,124840,14246,136768,,"LINESTRING (134134.8523000004 5912648.4276, 134117.6425000001 5912659.7561)"
2994,124838,124839,136769,,"LINESTRING (134076.5521 5912702.3877, 134097.4620000003 5912679.1019)"
2995,124839,14246,136770,,"LINESTRING (134097.4620000003 5912679.1019, 134117.6425000001 5912659.7561)"
2996,1003033,129324,161321,,"LINESTRING (134705.5789999999 5912397.6066, 134713.5230999999 5912406.5217, 134719.1722999997 5912415.9664, 134722.7912999997 5912425.7643, 134726.2337999996 5912435.0325, 134731.0003000004 5912444.3007, 134737.9735000003 5912454.1867, 134746.4473000001 5912462.7488, 134755.6272999998 5912469.722, 134765.7780999998 5912474.4885, 134779.1067000004 5912479.0785, 134802.4978999998 5912486.493, 134823.6823000005 5912492.7601, 134830.5673000002 5912494.9668, 134860.9316999996 5912494.2607, 134862.7852999996 5912525.1547, 134864.2858999996 5912547.2218, 134874.4368000003 5912575.8209, 134885.6984000001 5912606.747, 134897.6244000001 5912637.5037, 134907.6673999997 5912659.682, 134917.5119000003 5912670.0035, 134930.8404000001 5912682.1845, 134951.4069999997 5912704.5165, 134956.7324999999 5912718.5904, 134958.7725 5912737.7349, 134963.3233000003 5912756.2517, 134972.2677999996 5912773.9839, 134989.0585000003 5912791.5591, 135010.5568000004 5912804.8975, 135033.2417000001 5912815.3245)"
2997,14989,14995,14128,,"LINESTRING (130572.676 5916230.5915, 130569.8221000005 5916269.2124)"
2998,14995,14994,14129,,"LINESTRING (130569.8221000005 5916269.2124, 130454.6282000002 5916259.5411)"
2999,14991,14994,14130,,"LINESTRING (130457.0817999998 5916220.8409, 130454.6282000002 5916259.5411)"
3000,14985,14991,14131,,"LINESTRING (130461.1128000002 5916181.6936, 130457.0817999998 5916220.8409)"
3001,14987,14985,14132,,"LINESTRING (130463.4441999998 5916139.3187, 130461.1128000002 5916181.6936)"
3003,14142,14144,14961,,"LINESTRING (131520.3618999999 5916619.0778, 131508.7017999999 5916631.5703)"
3004,14140,14142,14962,,"LINESTRING (131580.7790000001 5916592.0283, 131520.3618999999 5916619.0778)"
3005,14139,14624,14963,,"LINESTRING (131579.3815000001 5916559.8628, 131505.6727999998 5916592.3044)"
3006,14624,14625,14964,,"LINESTRING (131505.6727999998 5916592.3044, 131452.6753000002 5916647.2976)"
3007,14623,14133,14967,,"LINESTRING (131426.7899000002 5916676.6561, 131448.3958000001 5916643.5106)"
3008,14133,14134,14968,,"LINESTRING (131448.3958000001 5916643.5106, 131495.3619999997 5916571.0031)"
3009,14134,14135,15298,,"LINESTRING (131495.3619999997 5916571.0031, 131503.4038000004 5916562.998, 131542.8914999999 5916523.6907, 131560.9944000002 5916505.6705)"
3010,14478,14630,15501,,"LINESTRING (131498.1886999998 5916691.9659, 131469.5290000001 5916712.7948)"
3011,14629,14628,15502,,"LINESTRING (131441.3163999999 5916724.1676, 131419.6173 5916725.3501, 131416.1814000001 5916725.5374)"
3012,14487,14488,15503,,"LINESTRING (131405.1962000001 5916776.3735, 131408.3536999999 5916761.6632)"
3013,15750,15757,14512,,"LINESTRING (130699.7226 5916234.9041, 130699.0355000002 5916195.6362)"
3014,15755,15750,14515,,"LINESTRING (130757.8206000002 5916234.9877, 130699.7226 5916234.9041)"
3015,15756,15757,14516,,"LINESTRING (130754.6634999998 5916196.3309, 130699.0355000002 5916195.6362)"
3016,14993,14994,14523,,"LINESTRING (130403.2456 5916255.4641, 130454.6282000002 5916259.5411)"
3017,14992,14991,14524,,"LINESTRING (130405.8783 5916216.2811, 130457.0817999998 5916220.8409)"
3018,14986,14985,14525,,"LINESTRING (130405.3772999998 5916176.7571, 130461.1128000002 5916181.6936)"
3019,16501,14985,14526,,"LINESTRING (130574.6259000003 5916190.4565, 130461.1128000002 5916181.6936)"
3020,14990,14991,14527,,"LINESTRING (130550.6876999997 5916227.8053, 130457.0817999998 5916220.8409)"
3021,16500,16501,14528,,"LINESTRING (130578.2669000002 5916146.0417, 130574.6259000003 5916190.4565)"
3023,14489,14488,16632,,"LINESTRING (131392.3271000003 5916751.5348, 131408.3536999999 5916761.6632)"
3024,14630,14629,16633,,"LINESTRING (131469.5290000001 5916712.7948, 131441.3163999999 5916724.1676)"
3025,14144,14141,16634,,"LINESTRING (131508.7017999999 5916631.5703, 131455.1907000002 5916686.967)"
3026,13199,13200,17309,,"LINESTRING (131542.3839999996 5916423.67, 131502.0960999997 5916435.8028)"
3027,13201,13198,17310,,"LINESTRING (131566.2156999996 5916497.7821, 131602.6710000001 5916459.7579)"
3028,13197,13198,17311,,"LINESTRING (131568.4464999996 5916462.6453, 131591.5305000003 5916459.6011, 131602.6710000001 5916459.7579)"
3029,13196,13197,17312,,"LINESTRING (131558.2325999998 5916423.4733, 131568.4464999996 5916462.6453)"
3030,12998,12997,18401,,"LINESTRING (131611.6645999998 5916603.6846, 131599.7631000001 5916584.9929)"
3031,12997,14140,18402,,"LINESTRING (131599.7631000001 5916584.9929, 131580.7790000001 5916592.0283)"
3032,16619,13490,18403,,"LINESTRING (132360.2445 5915883.4318, 132369.8559999997 5915830.2078)"
3033,16620,16619,18404,,"LINESTRING (132319.6972000003 5915879.1061, 132360.2445 5915883.4318)"
3034,16618,16619,18405,,"LINESTRING (132422.3561000004 5915894.7933, 132360.2445 5915883.4318)"
3035,14135,14136,15760,,"LINESTRING (131560.9944000002 5916505.6705, 131566.9705999997 5916499.5764, 131604.2401999999 5916461.5716)"
3036,15884,15885,15569,,"LINESTRING (132320.6300999997 5915822.4416, 132271.6114999996 5915814.9253)"
3037,13474,15316,15593,,"LINESTRING (132153.9877000004 5916005.0437, 132165.8213 5915952.1756)"
3038,15318,15319,15594,,"LINESTRING (132270.8503999999 5915924.4368, 132175.4480999997 5915904.2154)"
3039,15317,15316,15595,,"LINESTRING (132218.8525999999 5915962.7898, 132165.8213 5915952.1756)"
3040,15677,13478,15596,,"LINESTRING (132391.5478999997 5915922.4913, 132348.6041999999 5915940.6266)"
3041,14946,13478,15599,,"LINESTRING (132396.1529000001 5916049.2185, 132348.6041999999 5915940.6266)"
3042,14947,13477,15600,,"LINESTRING (132351.1463000001 5916069.4805, 132303.0005999999 5915959.8853)"
3043,14948,13476,15601,,"LINESTRING (132303.7534999996 5916087.9903, 132256.4057999998 5915979.5626)"
3044,14949,13475,15602,,"LINESTRING (132259.1731000002 5916106.9479, 132210.8066999996 5915998.8193)"
3045,14549,16147,16623,,"LINESTRING (132261.1542999996 5916114.8518, 132192.1655999999 5916143.9186)"
3046,14988,14987,15924,,"LINESTRING (130405.8254000004 5916133.8945, 130463.4441999998 5916139.3187)"
