,self,other,edge,edge_correction,geometry
95,14073,16358,15045,,"LINESTRING (130440.9111000001 5914871.4805, 130426.6922000004 5914869.1473)"
96,16427,16426,15644,,"LINESTRING (130515.2835999997 5914989.4493, 130520.9051999999 5914941.26)"
97,16424,16425,15883,,"LINESTRING (130527.4886999996 5914884.7994, 130517.5429999996 5914883.1488)"
98,16423,16424,15044,,"LINESTRING (130609.0450999998 5914897.1837, 130527.4886999996 5914884.7994)"
99,13945,13946,15015,,"LINESTRING (130088.6604000004 5914982.4846, 130112.7336999997 5914819.16)"
100,16407,16480,15233,,"LINESTRING (130379.1514999997 5915219.0657, 130330.8735999996 5915212.6706)"
101,16406,16407,15234,,"LINESTRING (130397.4238999998 5915221.1483, 130379.1514999997 5915219.0657)"
102,16479,16407,15235,,"LINESTRING (130370.1310000001 5915294.4209, 130373.8669999996 5915263.5538, 130379.1514999997 5915219.0657)"
103,14078,16395,15246,,"LINESTRING (130276.9342 5915259.2977, 130289.5086000003 5915158.0352)"
104,16390,16389,13458,,"LINESTRING (130249.5570999999 5915102.2272, 130201.3980999999 5915097.1087)"
105,16391,16392,13460,,"LINESTRING (130255.4318000004 5915054.8084, 130300.5820000004 5915060.1812)"
106,16508,16372,13466,,"LINESTRING (130416.4494000003 5914984.2448, 130360.3712999998 5914977.6415)"
107,16189,16358,15423,,"LINESTRING (130433.7337999996 5914822.8531, 130426.6922000004 5914869.1473)"
108,16413,16426,14154,,"LINESTRING (130618.1235999996 5914952.5971, 130520.9051999999 5914941.26)"
109,16392,16393,14046,,"LINESTRING (130300.5820000004 5915060.1812, 130295.3899999997 5915108.6174)"
110,16483,16484,14885,,"LINESTRING (130239.9351000004 5915283.2082, 130273.5225 5915288.4473)"
111,16482,14077,14886,,"LINESTRING (130320.8745999997 5915293.4609, 130324.9762000004 5915260.3206)"
112,16481,16482,14887,,"LINESTRING (130347.7822000002 5915296.9821, 130320.8745999997 5915293.4609)"
113,16382,16491,14735,,"LINESTRING (130089.7565000001 5915239.6492, 130102.4473999999 5915135.2329)"
114,16385,16388,14736,,"LINESTRING (130188.3432999998 5915195.9119, 130194.2440999998 5915146.4526)"
115,16490,14080,14737,,"LINESTRING (130178.7923999997 5915275.8168, 130182.4347999999 5915245.4362)"
116,16489,16490,14738,,"LINESTRING (130174.4563999996 5915316.4267, 130178.7923999997 5915275.8168)"
117,16394,16393,14980,,"LINESTRING (130315.4875999996 5915111.2014, 130295.3899999997 5915108.6174)"
118,14080,16385,14982,,"LINESTRING (130182.4347999999 5915245.4362, 130188.3432999998 5915195.9119)"
119,16480,16396,14983,,"LINESTRING (130330.8735999996 5915212.6706, 130336.9094000002 5915163.9028)"
120,16350,129827,141860,,"LINESTRING (130139.6228999998 5914865.4852, 130130.5608999999 5914922.8069)"
121,14392,16355,14152,,"LINESTRING (130145.7208000002 5914826.9134, 130184.7774 5914832.9516)"
122,129827,16378,14047,,"LINESTRING (130130.5608999999 5914922.8069, 130121.5773999998 5914979.6315, 130119.9117999999 5914990.9459)"
123,16194,14392,15322,,"LINESTRING (130156.0495999996 5914749.4793, 130145.7208000002 5914826.9134)"
124,14982,16380,15881,,"LINESTRING (130103.0970000001 5914861.4402, 130095.2218000004 5914919.4019)"
125,129821,14391,16931,,"LINESTRING (130119.6239 5914754.777, 130108.2692 5914821.8223)"
126,14391,14392,16932,,"LINESTRING (130108.2692 5914821.8223, 130145.7208000002 5914826.9134)"
127,16378,16544,17685,,"LINESTRING (130119.9117999999 5914990.9459, 130091.1640999997 5914987.085, 130082.9726 5914985.8396)"
128,14568,16293,14984,,"LINESTRING (130081.2197000002 5915025.3789, 130076.6040000003 5915058.7866)"
129,16516,16521,14533,,"LINESTRING (130023.0016999999 5914909.8549, 130013.7575000003 5914976.7876)"
130,13508,16545,14389,,"LINESTRING (130068.8557000002 5915121.1255, 130066.6726000002 5915130.9614)"
131,16521,16520,14393,,"LINESTRING (130013.7575000003 5914976.7876, 129976.5093999999 5914972.3589)"
132,16537,16541,14083,,"LINESTRING (130015.0151000004 5915264.0064, 129941.0988999996 5915254.4996)"
133,13507,16535,16608,,"LINESTRING (130009.4353 5915123.5196, 129994.7478 5915121.7481)"
134,16293,16543,18080,,"LINESTRING (130076.6040000003 5915058.7866, 130074.3891000003 5915074.8184)"
135,16543,16297,18083,,"LINESTRING (130074.3891000003 5915074.8184, 130071.9044000003 5915095.6119)"
136,16536,13507,16292,,"LINESTRING (130029.7819999997 5915125.9737, 130009.4353 5915123.5196)"
137,13509,16545,16294,,"LINESTRING (130077.7537000002 5915132.4496, 130072.5236 5915131.7472, 130066.6726000002 5915130.9614)"
138,16297,13508,16441,,"LINESTRING (130071.9044000003 5915095.6119, 130068.8557000002 5915121.1255)"
139,16538,14315,16223,,"LINESTRING (130052.8425000003 5915232.1833, 130062.8129000003 5915142.6284)"
140,16539,16536,16225,,"LINESTRING (130016.9088000003 5915224.8083, 130029.7819999997 5915125.9737)"
141,14081,16382,16610,,"LINESTRING (130085.4806000004 5915268.7279, 130089.7565000001 5915239.6492)"
142,14327,16538,16982,,"LINESTRING (130047.8230999997 5915263.9092, 130052.8425000003 5915232.1833)"
143,14315,15678,16224,,"LINESTRING (130062.8129000003 5915142.6284, 130058.7547000004 5915130.1677)"
144,13420,13421,17366,,"LINESTRING (130004.5185000002 5915297.7046, 130043.6475 5915302.8284)"
145,13421,14327,17367,,"LINESTRING (130043.6475 5915302.8284, 130047.8230999997 5915263.9092)"
146,13944,13945,15446,,"LINESTRING (130070.3476999998 5915126.4049, 130088.6604000004 5914982.4846)"
147,13943,13944,15447,,"LINESTRING (130049.6551999999 5915266.2193, 130070.3476999998 5915126.4049)"
148,13942,13943,15448,,"LINESTRING (130039.1497 5915338.4382, 130049.6551999999 5915266.2193)"
149,13946,13947,15014,,"LINESTRING (130112.7336999997 5914819.16, 130008.2692999998 5914803.8197)"
150,16523,16535,14696,,"LINESTRING (130007.0354000004 5915027.4291, 129994.7478 5915121.7481)"
151,16522,16536,14697,,"LINESTRING (130041.2764999997 5915032.9555, 130029.7819999997 5915125.9737)"
152,16544,16512,14390,,"LINESTRING (130082.9726 5914985.8396, 130048.2423 5914980.964)"
153,16283,14564,141855,,"LINESTRING (130038.0362999998 5914812.4949, 130001.5333000002 5914807.5595)"
154,16545,15678,14391,,"LINESTRING (130066.6726000002 5915130.9614, 130058.7547000004 5915130.1677)"
155,16512,16521,14392,,"LINESTRING (130048.2423 5914980.964, 130013.7575000003 5914976.7876)"
156,14522,14562,13701,,"LINESTRING (130082.8620999996 5914746.5142, 130073.1653000005 5914812.2281, 130072.5060000001 5914816.6964)"
157,16511,16512,14532,,"LINESTRING (130058.0333000002 5914913.482, 130048.2423 5914980.964)"
158,14563,16516,16646,,"LINESTRING (130032.0076000001 5914852.4052, 130031.7653999999 5914853.9498, 130023.0016999999 5914909.8549)"
159,16282,16511,16647,,"LINESTRING (130066.4762000004 5914857.0208, 130058.0333000002 5914913.482)"
160,15678,16536,16103,,"LINESTRING (130058.7547000004 5915130.1677, 130029.7819999997 5915125.9737)"
161,16379,14568,16597,,"LINESTRING (130084.1775000002 5914994.1656, 130081.2197000002 5915025.3789)"
162,16380,16544,16598,,"LINESTRING (130095.2218000004 5914919.4019, 130082.9726 5914985.8396)"
163,14562,16283,17745,,"LINESTRING (130072.5060000001 5914816.6964, 130038.0362999998 5914812.4949)"
164,16284,16283,17746,,"LINESTRING (130050.3192999996 5914734.3555, 130042.4308000002 5914787.4413, 130038.0362999998 5914812.4949)"
165,13849,13848,14797,,"LINESTRING (133997.1046000002 5915404.025, 133978.7599999998 5915403.9276)"
166,13847,13846,14798,,"LINESTRING (133955.9753 5915423.2067, 133975.7041999996 5915423.4902)"
167,13845,13846,14799,,"LINESTRING (133998.0958000002 5915423.1805, 133975.7041999996 5915423.4902)"
168,13851,12763,14800,,"LINESTRING (133980.9265000001 5915390.0584, 133984.7423999999 5915359.6326)"
169,15501,15499,14952,,"LINESTRING (134257.2679000003 5915452.2096, 134258.9036999997 5915506.6666)"
170,14501,15499,14953,,"LINESTRING (134260.0237999996 5915561.2434, 134258.9036999997 5915506.6666)"
171,15499,15495,14955,,"LINESTRING (134258.9036999997 5915506.6666, 134199.9009999996 5915556.8723)"
172,15805,13877,14286,,"LINESTRING (134148.7114000004 5915593.9549, 134166.6052999999 5915481.1381)"
173,16215,14035,14606,,"LINESTRING (134139.4742000001 5915346.2255, 134186.3097000001 5915346.0467)"
174,15999,15998,14613,,"LINESTRING (133889.1522000004 5915177.7335, 133946.2663000003 5915177.0605)"
175,15998,15997,14614,,"LINESTRING (133946.2663000003 5915177.0605, 134009.4534 5915175.1075)"
176,15997,15996,14615,,"LINESTRING (134009.4534 5915175.1075, 134127.9013 5915171.1583)"
177,13846,13848,14918,,"LINESTRING (133975.7041999996 5915423.4902, 133978.7599999998 5915403.9276)"
178,13848,13851,14919,,"LINESTRING (133978.7599999998 5915403.9276, 133980.9265000001 5915390.0584)"
179,16210,13527,14920,,"LINESTRING (134097.9073000001 5915357.7925, 134169.9282 5915356.7461)"
180,13852,13870,14921,,"LINESTRING (133956.5484999996 5915349.3944, 134077.7304999996 5915346.7924)"
181,13868,13852,14923,,"LINESTRING (133937.2331999997 5915349.6711, 133956.5484999996 5915349.3944)"
182,13527,13853,14792,,"LINESTRING (134169.9282 5915356.7461, 134185.4419999998 5915351.9954, 134216.8461999996 5915342.3788)"
183,13881,12763,14793,,"LINESTRING (133938.8419000003 5915360.011, 133984.7423999999 5915359.6326)"
184,13850,13851,14796,,"LINESTRING (133999.4982000003 5915392.0589, 133980.9265000001 5915390.0584)"
185,13877,14035,16543,,"LINESTRING (134166.6052999999 5915481.1381, 134185.4419999998 5915351.9954, 134186.3097000001 5915346.0467)"
186,14344,16249,18029,,"LINESTRING (134367.6586999996 5915337.9631, 134287.8707999997 5915340.9944)"
187,14035,13853,18104,,"LINESTRING (134186.3097000001 5915346.0467, 134216.8461999996 5915342.3788)"
188,16214,16215,18272,,"LINESTRING (134154.7571999999 5915240.0765, 134139.4742000001 5915346.2255)"
189,13882,16210,18311,,"LINESTRING (134065.1536999997 5915358.2684, 134097.9073000001 5915357.7925)"
190,16216,13510,18319,,"LINESTRING (134068.0477 5915512.2695, 134056.4797999999 5915595.8242)"
191,16211,16210,18366,,"LINESTRING (134094.7243999997 5915404.2596, 134097.9073000001 5915357.7925)"
192,13517,16215,18368,,"LINESTRING (134094.4839000003 5915346.3972, 134139.4742000001 5915346.2255)"
193,15988,15998,15488,,"LINESTRING (133945.7625000002 5915039.1689, 133946.2663000003 5915177.0605)"
194,13870,13517,16130,,"LINESTRING (134077.7304999996 5915346.7924, 134094.4839000003 5915346.3972)"
195,15500,15501,16808,,"LINESTRING (134262.6409 5915341.928, 134257.2280999999 5915407.1336, 134257.2679000003 5915452.2096)"
196,15994,15996,16164,,"LINESTRING (134125.9080999997 5915113.8051, 134127.9013 5915171.1583)"
197,13519,13518,16732,,"LINESTRING (134108.8695999999 5915240.9005, 134100.0037000002 5915303.9192)"
198,13518,13517,16733,,"LINESTRING (134100.0037000002 5915303.9192, 134094.4839000003 5915346.3972)"
199,16248,16249,17269,,"LINESTRING (134288.1983000003 5915301.3375, 134287.8707999997 5915340.9944)"
200,16250,16251,17270,,"LINESTRING (134377.3206000002 5915492.3525, 134375.6898999996 5915450.2986)"
201,16251,12767,17271,,"LINESTRING (134375.6898999996 5915450.2986, 134346.4243999999 5915450.3489)"
202,16247,16248,17841,,"LINESTRING (134365.9134999998 5915300.3135, 134288.1983000003 5915301.3375)"
203,16246,16245,17842,,"LINESTRING (134367.5948000001 5915375.756, 134288.3267999999 5915376.9394)"
206,12763,15972,17850,,"LINESTRING (133984.7423999999 5915359.6326, 134035.6920999996 5915358.7682)"
207,13855,13854,15396,,"LINESTRING (134178.6508999998 5915307.0501, 134219.5976999998 5915309.011)"
208,13512,13514,16740,,"LINESTRING (134009.5948000001 5915516.9138, 134000.7544 5915596.9537)"
209,15989,14613,17070,,"LINESTRING (133979.5401999997 5915043.9774, 134005.4402999999 5915043.5314)"
210,16249,15500,17723,,"LINESTRING (134287.8707999997 5915340.9944, 134262.6409 5915341.928)"
211,16245,16249,17724,,"LINESTRING (134288.3267999999 5915376.9394, 134287.8707999997 5915340.9944)"
212,16213,16214,18273,,"LINESTRING (134186.9800000004 5915240.0474, 134154.7571999999 5915240.0765)"
214,15869,15804,15736,,"LINESTRING (133972.8753000004 5915487.1964, 133954.3343000002 5915597.8945)"
215,12769,12768,17152,,"LINESTRING (134348.0652999999 5915496.4162, 134346.7331999997 5915458.5105)"
216,12768,12767,17153,,"LINESTRING (134346.7331999997 5915458.5105, 134346.4243999999 5915450.3489)"
217,12767,15501,17154,,"LINESTRING (134346.4243999999 5915450.3489, 134257.2679000003 5915452.2096)"
218,15972,13882,17678,,"LINESTRING (134035.6920999996 5915358.7682, 134065.1536999997 5915358.2684)"
219,16204,15972,17679,,"LINESTRING (134023.1053999998 5915462.895, 134035.6920999996 5915358.7682)"
220,14461,15993,16999,,"LINESTRING (134062.4156999998 5915048.6113, 134064.6272 5915115.2155)"
221,15996,15095,14616,,"LINESTRING (134127.9013 5915171.1583, 134200.1831999999 5915164.346)"
222,15098,15095,14617,,"LINESTRING (134359.6204000004 5915177.6278, 134200.1831999999 5915164.346)"
223,15494,15495,14699,,"LINESTRING (134216.6162 5915423.3424, 134199.9009999996 5915556.8723)"
224,13853,15494,14700,,"LINESTRING (134216.8461999996 5915342.3788, 134216.6162 5915423.3424)"
225,13856,13854,14924,,"LINESTRING (134229.1084000003 5915224.4519, 134219.5976999998 5915309.011)"
226,15095,15096,15393,,"LINESTRING (134200.1831999999 5915164.346, 134212.301 5915189.1332)"
227,15096,13856,15394,,"LINESTRING (134212.301 5915189.1332, 134229.1084000003 5915224.4519)"
228,13854,13853,15395,,"LINESTRING (134219.5976999998 5915309.011, 134216.8461999996 5915342.3788)"
229,15085,15093,15392,,"LINESTRING (134335.0510999998 5914943.2165, 134272.9977000002 5915063.2546)"
230,15097,15095,17329,,"LINESTRING (134235.9425999997 5915140.7132, 134200.1831999999 5915164.346)"
231,15093,15097,17330,,"LINESTRING (134272.9977000002 5915063.2546, 134235.9425999997 5915140.7132)"
232,13921,15098,16180,,"LINESTRING (134501.6911000004 5915179.4008, 134420.5880000005 5915179.103, 134359.6204000004 5915177.6278)"
233,15995,15994,15493,,"LINESTRING (134124.8439999996 5914981.3992, 134125.9080999997 5915113.8051)"
234,14613,15990,16261,,"LINESTRING (134005.4402999999 5915043.5314, 134007.4271999998 5915113.4839)"
235,15092,15089,15307,,"LINESTRING (134163.0215999996 5915063.7863, 134161.6953999996 5915005.3483)"
236,15088,15094,15340,,"LINESTRING (134215.0998999998 5915004.3164, 134215.4220000003 5915064.4094)"
237,15094,15093,15341,,"LINESTRING (134215.4220000003 5915064.4094, 134272.9977000002 5915063.2546)"
239,15990,15997,15487,,"LINESTRING (134007.4271999998 5915113.4839, 134009.4534 5915175.1075)"
241,15993,15994,15492,,"LINESTRING (134064.6272 5915115.2155, 134125.9080999997 5915113.8051)"
242,16468,16469,14973,,"LINESTRING (130611.4932000004 5915282.5622, 130563.4699999997 5915276.0171)"
244,16463,16462,14975,,"LINESTRING (130649.9497999996 5915252.4394, 130696.8126999997 5915257.8065)"
246,16450,16445,14977,,"LINESTRING (130777.9144000001 5915268.7053, 130825.7912999997 5915273.9292)"
247,16445,16446,14978,,"LINESTRING (130825.7912999997 5915273.9292, 130832.2846999997 5915224.6876)"
248,16460,16447,14979,,"LINESTRING (130868.3801999995 5915315.6242, 130881.1869999999 5915232.6037)"
249,16467,16449,14990,,"LINESTRING (130739.7796 5915297.4797, 130750.5453000003 5915214.4652)"
250,16466,16467,14991,,"LINESTRING (130692.4676000001 5915292.8239, 130739.7796 5915297.4797)"
251,16442,16441,14993,,"LINESTRING (130908.3283000002 5915286.3234, 130959.2717000004 5915294.4941)"
252,16441,16456,15516,,"LINESTRING (130959.2717000004 5915294.4941, 130948.5444 5915373.7161)"
253,16440,16441,15517,,"LINESTRING (130969.0066999998 5915245.2021, 130959.2717000004 5915294.4941)"
255,16417,16419,14859,,"LINESTRING (130705.2333000004 5915061.6149, 130606.5197000001 5915050.4411)"
256,16443,16452,15280,,"LINESTRING (131012.0732000005 5915301.0786, 131007.0559 5915335.474)"
258,16403,16505,15141,,"LINESTRING (130573.9423000002 5915192.9751, 130621.8486000001 5915198.6672)"
260,16507,16449,15143,,"LINESTRING (130702.9391999999 5915208.8465, 130750.5453000003 5915214.4652)"
261,16446,16447,15144,,"LINESTRING (130832.2846999997 5915224.6876, 130881.1869999999 5915232.6037)"
262,16438,16439,15148,,"LINESTRING (130936.2248 5915189.3996, 130944.9008999998 5915241.5752)"
